necks (chordophone components);300209253
provincial capitals;300387223
Mawia;300016532
inlay (process);300053850
Tajik (transliterated);300391420
mud mortar;300014753
goldbeating;300264833
Chochoteco (language);300388142
Twenty-seventh Dynasty (Egyptian);300020417
nigrosine (dye);300311487
monoprints (painting and printing works);300310077
superintendents;300025436
fibulae;300209303
weighing devices;300195708
folds;300219528
Kermesidae (family);300390515
Japanese-American;300386193
account books;300027483
laburnum (wood);300251078
hypsometry;300404178
suspenders (stocking supporters);300255782
Araeoscelidia (extinct order);300310274
custard glasses;300202300
second level subdivisions (political entities);300387145
rectors (pastors);300025777
strong orange;300126745
classified catalog;300026623
Bible records;300136907
ducats;300193382
desemer;300195850
materials scientists;300251959
commercial specifications;300027729
hashira-e (prints);300041281
industrial painters;300136453
oscillation;300220380
national organizations;300138731
Adena;300016833
zezes;300042204
systems engineering;300054507
raw sienna (pigment);300013396
Fraxinus americana (species);300343867
copy-editing;300189511
boundaries;300055590
tearooms;300005204
mosaicists;300025276
Bornean;300018717
mourning banners;300404234
anagrams;300202515
carriage museums (buildings);300391395
oil furnaces;300052223
edges (gathered matter components);300263012
radio (telecommunication system);300249989
ball cocks;300163156
xoana;300400656
satyrs;300379732
foundries;300266773
magazines (military buildings);300006920
union cases;300261961
social status;300065206
stainers;300386200
cinematography;300054227
crackle grain;300265813
hospital ships;300232813
fulling;300232074
cinematographs;300400735
armors for the barriers;300210837
spew;300251466
arsonists;300236886
attribution qualifiers;300404264
Namban;300018585
Hunde;300263792
footstones (tombstones);300266770
rose (color);300266244
transits;300199709
softening;300379468
Anuak (culture or style);300262895
strong reddish orange;300126804
Hallotypes (photographs);300263423
undersea troughs;300386938
forced air heating;300051535
Sapi-Portuguese;300137454
cutting machinery;300162791
rocking chairs;300038273
planimetry;300380548
muster rolls;300027828
bodkins (hairpins);300046040
cutch (pigment);300013357
intaglio printing processes;300199636
crosslap joints;300065974
Peninsular;300019213
parade armours;300210830
Pima (Native American);300017745
Balanta (language);300387930
agronomy;300254393
Taroko (language);300389379
Pinus elliottii (species);300343792
Chassey;300019334
Mustafa I;300021683
cocktail glasses;300043234
bureau Mazarin;300174209
meat processing plants;300164059
contadores;300141674
fellmongers;300025292
computer-assisted;300202376
Web sites;300265431
centripetal force;300056042
Salix lucida (species);300375387
safety pins;300239269
rustic capitals;300196122
Tewa (language);300389404
sweathouses;300007369
Aphrodisian;300020601
Messiria;300263025
accelerated cement;300010425
marginal illustrations;300200658
